Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Dominican Republic,DOM,2581.13424375231,2555.00749234571,2769.58319981129,2913.86168588916,2926.53652505226,3032.79130059354,3193.75764509513,3392.62269823048,3572.30792174034,3752.1686114586,3902.60008184078,3911.76007990308,4074.85496410869,4003.12852157614,3995.39546963223,4301.88496632513,4692.98522715234,5030.36364433711,5120.6065127718,5099.60481246967,5451.06695994465,5547.78880918922,5630.98859482722,5825.53348403503,6193.76478266577
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Ecuador,ECU,3720.93663277112,3790.50881374362,3782.18856452729,3770.34631460448,3844.7844388671,3847.50729154488,3832.76268967717,3917.65599711645,3966.17348925464,3706.64977662317,3678.90231648583,3759.89486102751,3848.26684555854,3888.34190144515,4139.08057299158,4286.51524651782,4400.85960185133,4421.90242783833,4624.19657905439,4573.2470841831,4657.3023611471,4943.4227039141,5140.26290700856,5311.21212093938,5428.71403106294
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,El Salvador,SLV,2155.96359542415,2203.0226125099,2336.88218385527,2475.33184627642,2591.51160108299,2724.76380657327,2741.52601659487,2830.08346956608,2910.28721334507,2986.64283367506,3028.8682633893,3060.63311919382,3114.16936432896,3169.13427088283,3212.05221079225,3310.93998907588,3424.83086608327,3540.55416312214,3569.91515439805,3442.86854777437,3474.39244489447,3535.38997143125,3585.28458921659,3634.24116617882,3668.1994456556
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Grenada,GRD,4771.77603989269,4829.31432754369,4751.55843072468,4606.02557098035,4632.19844743426,4690.73010271514,4872.62187948076,5100.51161033182,5688.94410177693,6073.98598655091,6359.78271479599,6216.99579348076,6414.88500073995,7003.12552976157,6938.73824808453,7837.35209468164,7501.84203664961,7936.04140516154,7984.84152465942,7430.56389412348,7365.6666592364,7393.88830636824,7280.33653007385,7421.47854069806,7932.66825873697
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Guatemala,GTM,2146.59485673931,2173.62998244584,2225.92106378667,2259.76653521635,2296.93122103367,2355.89411567083,2371.31183042631,2420.02694450416,2484.76024846879,2522.86141664883,2554.78152752909,2554.25861883846,2591.3294355891,2594.92612507367,2614.71279024639,2638.29047019618,2717.76349711088,2825.13809875931,2854.07196228428,2806.98044057128,2825.52406953376,2880.41465498131,2903.39784892403,2947.97210547784,3007.90021300692
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Guyana,GUY,1480.41004859524,1566.94091571772,1680.97115431104,1806.12755711936,1947.51303351421,2036.70192302406,2195.6207183949,2336.48414913358,2304.31438501689,2381.15030618252,2354.53152754201,2410.83043859236,2437.39627734873,2412.98087296678,2493.1424239482,2446.65189486877,2576.77532693189,2764.05956433319,2824.56822487242,2927.32731164079,3044.94912901667,3192.29554435805,3342.92066291446,3487.54801045097,3598.2908823038
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Haiti,HTI,..,..,..,..,..,..,757.057605890913,763.501533691312,766.317381874721,773.421282594969,766.936717230252,746.410000113309,732.552230600865,723.601687166324,687.191411263482,688.702984831631,693.262996865611,705.388341696728,700.483332422239,711.24623996144,662.279518162433,688.843386666924,698.787765236704,718.420465180633,728.780321832657
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Honduras,HND,1543.71916019091,1548.72144627702,1589.72823567315,1641.54507858093,1575.26974197792,1594.35708032386,1606.97984437211,1642.16160171309,1645.28815629354,1572.2542157516,1620.05611297354,1622.20814070154,1641.39720275338,1674.39548410075,1736.69288395134,1799.49033173303,1874.95344908855,1947.95743406386,1987.91408312059,1900.38257131035,1932.85828999689,1969.31041398448,2013.47830649303,2033.31618619227,2059.47490887894
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Jamaica,JAM,4266.5811782956,4437.41213513397,4484.41547724033,4860.54416397871,4880.19979114825,4946.86936232998,4893.88855348537,4791.62932961676,4635.78865060693,4642.55106439046,4644.59689974399,4671.63842191595,4732.35568328343,4874.99504104464,4910.08248999842,4925.27738769192,5039.41363387355,5083.6039913678,5015.8538381706,4774.45118917193,4682.52124815387,4742.91841336712,4694.2472587349,4699.76845749529,4714.86109974942
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Mexico,MEX,7257.93108174907,7415.50601032375,7532.60778560851,7685.21740256496,7896.12059754569,7307.17697825048,7603.70898136384,7999.85794210516,8245.49392514536,8340.56385750001,8659.79725352063,8494.83885088078,8401.01586690823,8416.9042657497,8667.28855532868,8808.56356491149,9108.06544957465,9253.31771559193,9232.19731607389,8657.83602871194,8959.5814158753,9183.32807775507,9414.90607794251,9409.9653706125,9492.99088884449
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Nicaragua,NIC,1138.04746955255,1111.14880221684,1091.10155159137,1063.43461216881,1076.04253853748,1117.04727318143,1165.5383672502,1190.03489694127,1213.17242543353,1277.5341601187,1309.52559663019,1328.75008810319,1320.39295592364,1335.8169433962,1388.54326130522,1429.26457367809,1464.35051920187,1518.65319903248,1550.50129486847,1480.37652901593,1526.49793806178,1603.33429038139,1687.35867940454,1750.057433033,1812.99474219866
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Panama,PAN,4023.20048525893,4311.12247253969,4569.02862785818,4720.04406300522,4755.93386520376,4741.12871438855,4834.64911284334,5043.14049136278,5304.85402314161,5403.43260909646,5441.82128823216,5367.9625259526,5383.8020113315,5505.48579070322,5810.3163779531,6114.22120544563,6522.91812976608,7173.70415148201,7653.07474738949,7638.29104059392,7937.25993090731,8719.97386309516,9360.33625597996,9810.01094530468,10229.2269017896
