Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Japan,JPN,37906.1637024172,39044.9272685783,39267.1202427963,39237.3266924184,39441.5707298458,40368.7051086109,41514.8624950739,41861.9110380264,41277.0774763816,41097.9611955571,42169.6978757344,42239.1130886031,42190.7786326809,42743.9939102079,43671.6803574739,44393.6627400989,44995.5215075646,45687.3457507701,45165.8871619431,42724.5349112628,44507.6763859172,44538.7261906961,45276.8743354208,46249.2095886497,46484.1552668943
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Kiribati,KIR,1691.13640301147,1661.58167184351,1652.19231486894,1645.64990512295,1653.23735332971,1630.713509805,1633.61624530499,1634.39280928138,1712.39407509467,1657.27335140699,1730.81208299629,1676.51853905573,1710.43241349455,1714.28801285882,1655.68050498726,1704.1055741493,1642.73429133361,1643.15673552089,1577.91978590661,1549.00463205806,1493.16051003948,1471.55248604141,1519.48035663606,1578.87555340862,1565.24297354827
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Korea, Rep.",KOR,8464.93705011657,9249.38879200147,9719.06200438635,10279.5472758828,11113.5130969854,12055.2312884405,12847.770996661,13481.6261712846,12652.3534853386,13983.4128290361,15104.5215176462,15667.3784594262,16734.8456640213,17136.6615671131,17905.2257914499,18568.3628147064,19427.1898414365,20385.3200379602,20803.5005404023,20843.1348004932,22086.9529193201,22724.7055707813,23123.7613575514,23685.4067110429,24323.5728375795
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Lao PDR,LAO,462.001627182118,468.474495374103,481.089180990632,496.207531785497,523.435446182652,547.359929886507,572.85534679179,600.194932214992,612.590775482417,645.996039920063,672.167829902733,699.633479930959,729.894198967351,762.746261093458,799.073630455612,842.56763005921,900.275436525579,952.316936039329,1009.46077458393,1067.57591683447,1141.12711507419,1215.8817287986,1296.74566537316,1383.70298009413,1470.49970568185
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Macao SAR, China",MAC,21532.300213223,21700.2040796667,23996.3811004586,24703.330614659,25235.067708427,25544.5547244556,24928.2335325849,24363.6147203356,22780.5746327078,21777.4572053406,22524.4368729561,22640.5699720586,24072.0284882643,26220.1356278002,32438.3186201506,34246.079189694,37959.0963874516,42537.7274450567,43081.3772607056,42739.3759736194,52374.7944457228,62279.490715389,66449.1230410897,72183.5834497536,69749.1027836703
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Malaysia,MYS,4534.79516750057,4835.99192069421,5131.83120313103,5500.11697032864,5858.94810639242,6275.11575654621,6729.52394040616,7040.79047145522,6360.94933120729,6589.6037488628,7009.60173993548,6893.28051327208,7114.81674104128,7377.3081937676,7725.84502041922,7983.8914936947,8273.66198942654,8889.68419175406,9020.39970254535,8635.11672182396,9071.35698672103,9377.18756674544,9708.93699434129,9981.15457978059,10398.2269045467
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Marshall Islands,MHL,2630.06799367473,2568.46388640348,2701.54791447106,2825.4712793524,2960.37205796898,3175.88412211668,2827.28254199938,2630.15493756105,2543.8812812622,2475.55845841277,2617.36543188505,2756.47586057403,2829.93700793756,2837.03617811905,2842.69011563305,2926.63526948447,2967.3712327336,3072.29376265469,3017.0710719868,2961.92708581645,3146.76394849785,3177.63858364116,3279.96359972417,3365.46541708746,3333.3610463618
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Micronesia, Fed. Sts.",FSM,2361.38650422257,2473.40607947508,2506.23133047285,2644.51563694383,2577.72640758689,2721.86231491821,2617.98966744343,2455.6082009246,2534.35559448518,2579.48168120228,2706.82954206421,2760.98494399962,2782.27325811676,2840.87394410679,2758.10425441164,2824.93040815082,2834.90563100836,2795.30174172956,2749.00660466146,2795.22639189605,2861.77134805435,2961.78722819498,2901.88146811042,2784.55791433293,2716.32262627632
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Mongolia,MNG,1761.2173863106,1583.6179947454,1420.64361176531,1363.65346773908,1382.19592801213,1459.10628366145,1479.78784983799,1524.86010416567,1562.48055654015,1596.5117098575,1600.47948399086,1632.52467478085,1693.08113755354,1792.87316803559,1961.49189295873,2079.11237040718,2229.15453499798,2425.68184002908,2604.92891547801,2533.17573698292,2650.35364830438,3053.61226793293,3365.57197529809,3685.74784533092,3901.86660444895
